"[ref]"	"[name]"	"[name_short]"	"[old_name]"	"[branch]"	"iesec:level"	"_data_flag"
101746	"A. Diaz, Sr. Elementary School"	""		""	"1"	"maPaaralan"
102193	"A.P. Santos Elementary School & Special Education Center"	""		""	"0-1"	"maPaaralan"
101283	"A.P. Guevara Integrated School"	""		""	"1"	"maPaaralan"
100216	"Ab-abut Elementary School"	""		""	"1"	"maPaaralan"
100043	"Abaca Elementary School"	""		""	"1"	"maPaaralan"
100554	"Abaccan Elementary School"	""		""	"0-1"	"maPaaralan"
101131	"Abagatanen Integrated School"	""	"Abagatanen Elementary School"	""	"1"	"maPaaralan"
102252	"Abanon Central Elementary School"	""		""	"1"	"maPaaralan"
100307	"Abkir Elementary School"	""		""	"1"	"maPaaralan"
100100	"Ablan Community School"	""		""	"1"	"maPaaralan"
101531	"Abonagan-Bobon Elementary School"	""	"Abonagan Elementary School"	""	"1"	"maPaaralan"
100217	"Abucay Elementary School"	""		""	"1"	"maPaaralan"
101223	"Abunciang Elementary School"	""		""	"1"	"maPaaralan"
100907	"Acao Elementary School"	""		""	"1"	"maPaaralan"
100139	"Acnam-Caray Elementary School"	""		""	"1"	"maPaaralan"
101887	"Acop Elementary School"	""		""	"1"	"maPaaralan"
100160	"Adams Central Elementary School"	""		""	"1"	"maPaaralan"
100700	"Ag-agrao Elementary School"	""		""	"0-1"	"maPaaralan"
100762	"Ag-aguman Elementary School"	""		""	"0-1"	"maPaaralan"
100891	"Ag-na ElementarySchool"	""		""	"1"	"maPaaralan"
100101	"Agaga Elementary School"	""		""	"0-1"	"maPaaralan"
102014	"Agat Elementary School"	""		""	"1"	"maPaaralan"
102226	"Agdao Integrated School"	""	"Agdao Elementary School"	""	"1-2"	"maPaaralan"
100161	"Aggasi Primary School"	""		""	"1"	"maPaaralan"
101132	"Agno Central School"	""		""	"1"	"maPaaralan"
102061	"Agno Elementary School"	""		""	"1"	"maPaaralan"
100801	"Agoo East Central Elementary School"	""		""	"1"	"maPaaralan"
100809	"Agoo West Central Elementary School"	""		""	"1"	"maPaaralan"
100932	"Agpay Elementary School"	""		""	"1"	"maPaaralan"
101149	"Aguilar Central School"	""		""	"1"	"maPaaralan"
100325	"Aguiwas Primary School"	""		""	"1"	"maPaaralan"
100970	"Al-alinao Elementary School"	""		""	"1"	"maPaaralan"
101532	"Alacan-Guilig Elementary School"	""		""	"1"	"maPaaralan"
101166	"Alaminos Central School"	""		""	"1"	"maPaaralan"
100495	"Alangan Elementary School"	""		""	"0-1"	"maPaaralan"
100044	"Alao-ao Primary School"	""		""	"1"	"maPaaralan"
101694	"Alcala Central School"	""		""	"1"	"maPaaralan"
